restaurant_name,name,award,price,cuisine,latitude,longitude
hong peng la mian xiao long bao,Hong Peng La Mian Xiao Long Bao,Selected Restaurants,$,Street Food,1.2852868,103.8425969
springleaf prata place (spring leaf garden),Springleaf Prata Place (Spring Leaf Garden),Selected Restaurants,$,Street Food,1.3971,103.81896
lao jie fang,Lao Jie Fang,Selected Restaurants,$,Street Food,1.2932654,103.8028365
ah heng duck rice,Ah Heng Duck Rice,Selected Restaurants,$,Street Food,1.2851653,103.8457572
spago dining room,Spago Dining Room,Selected Restaurants,$$,"Californian, Asian Contemporary",1.2839213,103.8590604
buko nero,Buko Nero,Selected Restaurants,$$,Italian,1.277667,103.84357
majestic,Majestic,Selected Restaurants,$$,Cantonese,1.2780668,103.8528577
torno subito,Torno Subito,Selected Restaurants,$$,Italian,1.3057499,103.8112763
brasserie astoria,Brasserie Astoria,Selected Restaurants,$$,European Contemporary,1.28801,103.85171
aunty oats pancake,Aunty Oats Pancake,Selected Restaurants,$,Street Food,1.3083574,103.8857344
mustard seed,Mustard Seed,Selected Restaurants,$$$,Singaporean,1.3630824,103.8711608
whampoa soya bean & grass jelly drinks,Whampoa Soya Bean & Grass Jelly Drinks,Selected Restaurants,$,Street Food,1.3228091,103.8551585
tow kwar pop,Tow Kwar Pop,Selected Restaurants,$,Street Food,1.2846506,103.83259
revolver,Revolver,Selected Restaurants,$$,Barbecue,1.2781226,103.8442476
the 1950's coffee,The 1950's Coffee,Selected Restaurants,$,Street Food,1.2821578,103.8432905
yan ting,Yan Ting,Selected Restaurants,$$,Cantonese,1.305914,103.8259
keng eng kee (bukit merah),Keng Eng Kee (Bukit Merah),Selected Restaurants,$,Singaporean,1.2857642,103.8037043
hup kee teochew fishball mee,Hup Kee Teochew Fishball Mee,Selected Restaurants,$,Street Food,1.2932654,103.8028365
kang's wanton noodle,Kang's Wanton Noodle,Selected Restaurants,$,Street Food,1.29236,103.83122
shunsui,Shunsui,Selected Restaurants,$$$,Japanese,1.28762,103.84726
food street fried kway teow mee,Food Street Fried Kway Teow Mee,Selected Restaurants,$,Street Food,1.2821551,103.8432905
hong wen mutton soup,Hong Wen Mutton Soup,Selected Restaurants,$,Street Food,1.3423709,103.7762553
huat heng fried oyster,Huat Heng Fried Oyster,Selected Restaurants,$,Street Food,1.3231563,103.8549835
people's park hainanese chicken rice,People's Park Hainanese Chicken Rice,Selected Restaurants,$,Street Food,1.2851661,103.8425425
c.m.y. satay,C.M.Y. Satay,Selected Restaurants,$,Street Food,1.2823914,103.8430927
ah ter authentic teochew fish ball noodles,Ah Ter Authentic Teochew Fish Ball Noodles,Selected Restaurants,$,Street Food,1.2794786,103.8466829
lor 9 beef kway teow,Lor 9 Beef Kway Teow,Selected Restaurants,$,Street Food,1.312193,103.8767
garibaldi,Garibaldi,Selected Restaurants,$$,Italian,1.296564,103.855
fiz,Fiz,Selected Restaurants,$$$,"Malaysian, Contemporary",1.279692,103.844015
loong kee yong tau fu,Loong Kee Yong Tau Fu,Selected Restaurants,$,Street Food,1.3495894,103.7182191
hua xing bak kut teh,Hua Xing Bak Kut Teh,Selected Restaurants,$,Street Food,1.3452792,103.7313194
nasi lemak ayam taliwang,Nasi Lemak Ayam Taliwang,Selected Restaurants,$,Street Food,1.4249952,103.8447273
ivy's hainanese herbal mutton soup,Ivy's Hainanese Herbal Mutton Soup,Selected Restaurants,$,Street Food,1.2759467,103.7914178
ah hock fried hokkien noodles,Ah Hock Fried Hokkien Noodles,Selected Restaurants,$,Street Food,1.3642542,103.8665402
heng gi goose and duck rice,Heng Gi Goose and Duck Rice,Selected Restaurants,$,Street Food,1.3056875,103.8505645
tien lai rice stall,Tien Lai Rice Stall,Selected Restaurants,$,Street Food,1.3347274,103.7214058
fatty ox hk kitchen,Fatty Ox HK Kitchen,Selected Restaurants,$,Street Food,1.2822034,103.8432932
birds of paradise (katong),Birds Of Paradise (Katong),Selected Restaurants,$,Street Food,1.3052429,103.9035725
rojak‧popiah & cockle,Rojak‧Popiah & Cockle,Selected Restaurants,$,Street Food,1.2802878,103.844637
91 fried kway teow mee,91 Fried Kway Teow Mee,Selected Restaurants,$,Street Food,1.3029121,103.8638813
traditional hakka lui cha,Traditional Hakka Lui Cha,Selected Restaurants,$,Street Food,1.3496022,103.7182959
san shu gong (geylang),San Shu Gong (Geylang),Selected Restaurants,$$,"Teochew, Cantonese",1.3111829,103.8739285
putien (kitchener road),Putien (Kitchener Road),Selected Restaurants,$$,Fujian,1.3095414,103.8574032
sushi katori,Sushi Katori,Selected Restaurants,$$$$,Sushi,1.2795296,103.8441068
zi jing cheng hainanese boneless chicken rice,Zi Jing Cheng Hainanese Boneless Chicken Rice,Selected Restaurants,$,Street Food,1.2862958,103.8045586
fiamma,Fiamma,Selected Restaurants,$$$,Italian,1.2494097,103.8242699
ye tang,Ye Tang,Selected Restaurants,$,Street Food,1.3424073,103.776255
boon tong kee kway chap‧braised duck,Boon Tong Kee Kway Chap‧Braised Duck,Selected Restaurants,$,Street Food,1.2924249,103.8311181
lor mee 178,Lor Mee 178,Selected Restaurants,$,Street Food,1.2846377,103.8326
cheng heng kway chap and braised duck rice,Cheng Heng Kway Chap and Braised Duck Rice,Selected Restaurants,$,Street Food,1.3081707,103.7924893
imperial treasure super peking duck (paragon),Imperial Treasure Super Peking Duck (Paragon),Selected Restaurants,$$,Cantonese,1.303191,103.8354
wakuda,Wakuda,Selected Restaurants,$$$,Japanese Contemporary,1.283879,103.8606805
jiao cai seafood,Jiao Cai Seafood,Selected Restaurants,$,Street Food,1.4251958,103.8446508
poh cheu (kpt coffee shop),Poh Cheu (KPT Coffee Shop),Selected Restaurants,$,Street Food,1.28535,103.80339
r&b express,R&B Express,Selected Restaurants,$,Street Food,1.3122041,103.8396372
hock seng choon fish ball kway teow mee,Hock Seng Choon Fish Ball Kway Teow Mee,Selected Restaurants,$,Street Food,1.3203827,103.9351611
sheng seng fried prawn noodle,Sheng Seng Fried Prawn Noodle,Selected Restaurants,$,Street Food,1.3162872,103.8499262
allauddin's briyani,Allauddin's Briyani,Selected Restaurants,$,Street Food,1.3060542,103.8508753
jiang-nan chun,Jiang-Nan Chun,Selected Restaurants,$$$,Cantonese,1.304937,103.8288
hokkien street bak kut teh,Hokkien Street Bak Kut Teh,Selected Restaurants,$,Street Food,1.2853017,103.8457225
leon kee claypot pork rib soup,Leon Kee Claypot Pork Rib Soup,Selected Restaurants,$,Street Food,1.2863927,103.8044724
tambuah mas (orchard),Tambuah Mas (Orchard),Selected Restaurants,$$,Indonesian,1.3036065,103.8349852
unforgettable carrot cake,Unforgettable Carrot Cake,Selected Restaurants,$,Street Food,1.2856834,103.8222026
la d'oro,La D'Oro,Selected Restaurants,$$$,Italian Contemporary,1.3022251,103.8361885
hokkien man hokkien mee,Hokkien Man Hokkien Mee,Selected Restaurants,$,Street Food,1.3352503,103.8565087
zheng zhi wen ji pig's organ soup,Zheng Zhi Wen Ji Pig's Organ Soup,Selected Restaurants,$,Street Food,1.313468,103.76461
sushi yuki,Sushi Yuki,Selected Restaurants,$$$,Sushi,1.301895,103.8495012
ce soir,Ce Soir,Selected Restaurants,$$$,Asian Contemporary,1.2942933,103.7960641
esquina,Esquina,Selected Restaurants,$$,Spanish,1.2799309,103.8420297
gunther's,Gunther's,Selected Restaurants,$$$,French Contemporary,1.296602,103.8549
fleur de sel,Fleur de Sel,Selected Restaurants,$$,French,1.2777778,103.84417
heng long bbq chicken rice,Heng Long BBQ Chicken Rice,Selected Restaurants,$,Street Food,1.2932654,103.8028365
rempapa,Rempapa,Selected Restaurants,$,South East Asian,1.2896985,103.8512862
claudine,Claudine,Selected Restaurants,$$,French,1.3048538,103.8134286
chomp chomp satay,Chomp Chomp Satay,Selected Restaurants,$,Street Food,1.3642842,103.8664665
new world mutton soup,New World Mutton Soup,Selected Restaurants,$,Street Food,1.324706,103.9306438
hock hai (hong lim) curry chicken noodle,Hock Hai (Hong Lim) Curry Chicken Noodle,Selected Restaurants,$,Street Food,1.324642,103.9306401
