restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade
royal albatross - luxury tall ship,ChIJi454DP0b2jERDzqAZnYncek,4.9,4364.0,,1.258897,103.819902,royal t group pte. ltd.,A
poulet - vivocity,ChIJ19gzfOIb2jERiPK282bwI88,4.7,15702.0,2.0,1.2636547,103.8211921,,
ramen hitoyoshi,ChIJA_33Z-Ib2jERUPhVR3rK2JY,4.4,678.0,,1.2642175,103.8203582,ramen champion pte. ltd.,A
mos burger,ChIJJ8r1XOIb2jER2hkLuBrMJqQ,3.6,253.0,1.0,1.2643389,103.8201453,mos foods singapore pte. ltd.,A
monster curry - vivo city,ChIJFR1DMJEZ2jER97UAiPBF-NI,4.7,1516.0,2.0,1.2634568,103.8228146,lau di fang scissors-cut curry rice pte. ltd.,A
paradise dynasty,ChIJDyS7oFgZ2jERkHVAD9YPb2M,4.2,621.0,2.0,1.2634367,103.8228488,paradise dynasty pte. ltd.,
mcdonald's vivocity,ChIJgY71BEIZ2jERwrDTyHjdHJs,4.1,1765.0,1.0,1.2648447,103.821092,seafood paradise (s) pte. ltd.,A
seoul garden buffet & seoul garden hotpot - harbourfront centre,ChIJR2jLC9gb2jERSOMeHzTdNNs,4.6,1372.0,,1.2650798,103.8199438,kai garden private limited,A
kfc (harbourfront centre),ChIJHSqxPeIb2jERny68VoFv5rY,4.3,931.0,2.0,1.2652128,103.8199861,the orange lantern(harbourfront) restaurant p l,A
toast box (vivocity b2),ChIJFZzpo1gZ2jERnlP6DqU0GjU,3.6,817.0,1.0,1.2647139,103.8231658,ya kun kaya toast coffeestall since 1944 pte. ltd.,B
prima computer systems - pos solutions,ChIJoZiROVkZ2jERxtjAavZ7dnw,5.0,1.0,,1.265116,103.825666,jrs food systems pte. ltd.,A
dusk @ mount faber peak,ChIJTa5Gxd8b2jERJkyx1H654CU,4.7,4101.0,2.0,1.2711347,103.8196354,mount faber nasi lemak fast food shop pte ltd,A
makko teck neo,ChIJiz0y1GEZ2jERPsWznuo58bY,4.1,586.0,2.0,1.2730573,103.822421,makko teck neo pte. ltd.,A
pizza hut harbourfront centre,ChIJZTd8Z-Ib2jERTY2VbzE2c2c,4.6,1223.0,2.0,1.2652601,103.8199978,alt. pizza pte. ltd.,A
putien vivocity,ChIJQ7ONulgZ2jERTqwkadCVJBw,4.7,3458.0,2.0,1.2634208,103.8223318,prawn noodles & putien restaurant pte. ltd.,B
crystal jade pavilion,ChIJQ7ONulgZ2jERzbjgQA1j2vs,4.0,693.0,2.0,1.2633755,103.8223827,crystal jade my bread (tbp) pte. ltd.,
old habits cafe,ChIJiU9mL2AZ2jER07ZospknPBk,4.7,2294.0,2.0,1.2771481,103.8175278,hanis cafe & bakery pte. ltd.,A
swensen's unlimited @ vivocity,ChIJA7UOu1gZ2jERcrEFy-AOKDs,4.5,6372.0,2.0,1.2634317,103.8229708,s connexion pte ltd,A
mcdonald's harbourfront centre,ChIJZTd8Z-Ib2jER7gmpwtC56t4,4.1,2270.0,1.0,1.2642175,103.8203582,s connexion pte ltd,A
amara singapore,ChIJrXZUXmsZ2jERdZPWv7o3QHA,4.1,3967.0,,1.2752457,103.8434106,cold storage singapore (1983) pte ltd,A
carlton city hotel singapore,ChIJW-HHrWwZ2jERC16smRC_0NQ,4.4,2370.0,,1.2759801,103.8436052,carlton city hotel (singapore) pte ltd,A
mcdonald's springleaf tower,ChIJbSX5nxQZ2jER7XXItxRWZLg,4.1,2633.0,1.0,1.2748671,103.8459685,tower 3 pte. ltd.,A
the blue ginger,ChIJy3NcJ20Z2jERsizqEPou3Ek,4.2,1155.0,3.0,1.2774196,103.8437872,the exchange asia square pte ltd,A
sofi cafe+keto,ChIJ0ZJOG20Z2jERRso4aE9y2dU,4.2,1110.0,2.0,1.2773378,103.8443099,hanis cafe & bakery pte. ltd.,A
whole earth,ChIJ01wV1WwZ2jERSk88-PrWNFE,4.4,1392.0,3.0,1.277244,103.8447081,the whole earth pte ltd,A
